Data
90
60
85
180
45
80
60
20
120
70
20
60
120
180
180
240
60
180
1
240
70
65
190
45
243
52
180
77
69
129
120
230
140
280
25
150
50
30
60
60
4
120
30
120
83
60
120
90
60
56
180
71
10
150
60
150
40
40
150
5
60
90
60
78
120
150
60
275
70
60
65
30
40
150
100
60
150
70
2
120
60
50
190
4
50
49
180
75
90
6
30
60
60
120
90
1
120
3
20
30
75
300
120
60
